,project,label,content,tool,bug_id,filename,project_with_label,all_paths
49,Lang,1,outer: for (int i = startIndex; i < len; i++) { for (int j = 0; j < strLen; j++) { -                if (str.charAt(j) != thisBuf[i + j]) { +            	if (str.charAt(j) != thisBuf[i + j] || (i + j >= length()) == true) { continue outer; } },Jaid,61,patch1-Lang-61-Jaid-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/Jaid/Lang/patch1-Lang-61-Jaid-plausible.patch
50,Lang,1,} case 3: { char ch = str.charAt(0); +                if((ch == 'y' || str.isEmpty()) == false){ +                	return ch == 'Y'; +                	} if (ch == 'y') { return (str.charAt(1) == 'e' || str.charAt(1) == 'E') && (str.charAt(2) == 's' || str.charAt(2) == 'S'); } + if (ch == 'Y') { return (str.charAt(1) == 'E' || str.charAt(1) == 'e') &&,Jaid,51,patch3-Lang-51-Jaid-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/Jaid/Lang/patch3-Lang-51-Jaid-plausible.patch
51,Lang,1,"if(this.runningState != STATE_RUNNING && this.runningState != STATE_SUSPENDED) { throw new IllegalStateException(""Stopwatch is not running. ""); } +        if((this.runningState > 1) == true){ +        	this.runningState=1; +        	}else{ stopTime = System.currentTimeMillis(); +        	} this.runningState = STATE_STOPPED; } ",Jaid,55,patch2-Lang-55-Jaid-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/Jaid/Lang/patch2-Lang-55-Jaid-plausible.patch
52,Lang,1,"if (str == null) { return null; } +        if((lower > str.length()) == true){ +        	lower=str.length(); + +        	}else{ if (str.length() == 0) { return StringUtils.EMPTY; } +        	}  // if the lower value is greater than the length of the string, // set to the length of the string",Jaid,45,patch1-Lang-45-Jaid-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/Jaid/Lang/patch1-Lang-45-Jaid-plausible.patch
53,Lang,1,(str.charAt(1) == 'e' || str.charAt(1) == 'E') && (str.charAt(2) == 's' || str.charAt(2) == 'S'); } +                if((ch == 'Y' || str.isEmpty()) == false){ +                	return str == null; +                	} if (ch == 'Y') { return (str.charAt(1) == 'E' || str.charAt(1) == 'e') &&,Jaid,51,patch2-Lang-51-Jaid-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/Jaid/Lang/patch2-Lang-51-Jaid-plausible.patch
54,Lang,1,} case 3: { char ch = str.charAt(0); +                if((ch == 'y') == false){ +                	return ch == 'Y'; + +                	} if (ch == 'y') { return (str.charAt(1) == 'e' || str.charAt(1) == 'E') &&,Jaid,51,patch4-Lang-51-Jaid-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/Jaid/Lang/patch4-Lang-51-Jaid-plausible.patch
55,Lang,1,outer: for (int i = startIndex; i < len; i++) { for (int j = 0; j < strLen; j++) { -                if (str.charAt(j) != thisBuf[i + j]) { +            	if (str.charAt(j) != thisBuf[i + j] || (i + j >= size()) == true) { continue outer; } },Jaid,61,patch2-Lang-61-Jaid-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/Jaid/Lang/patch2-Lang-61-Jaid-plausible.patch
56,Lang,1,(str.charAt(1) == 'e' || str.charAt(1) == 'E') && (str.charAt(2) == 's' || str.charAt(2) == 'S'); } +                if(((ch == 'Y') == (str == null)) == true){ +                	return ch == 'T'; +                	} if (ch == 'Y') { return (str.charAt(1) == 'E' || str.charAt(1) == 'e') &&,Jaid,51,patch1-Lang-51-Jaid-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/Jaid/Lang/patch1-Lang-51-Jaid-plausible.patch
57,Lang,1,"* @throws IllegalStateException if the StopWatch is not running. */ public void stop() { +    	if((this.runningState > 0) == true){ +    		return; +    		} if(this.runningState != STATE_RUNNING && this.runningState != STATE_SUSPENDED) { throw new IllegalStateException(""Stopwatch is not running. ""); }",Jaid,55,patch3-Lang-55-Jaid-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/Jaid/Lang/patch3-Lang-55-Jaid-plausible.patch
58,Lang,1,"if (str == null) { return null; } +        if((lower >= str.length()) == true){ +        	lower=str.length(); + +        	}else{ if (str.length() == 0) { return StringUtils.EMPTY; } +        	}  // if the lower value is greater than the length of the string, // set to the length of the string",Jaid,45,patch2-Lang-45-Jaid-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/Jaid/Lang/patch2-Lang-45-Jaid-plausible.patch
