,project,label,content,tool,bug_id,filename,project_with_label,all_paths
284,Lang,1,"if (str == null) { return null; } +        str=str.toLowerCase(); if (StringUtils.isBlank(str)) { throw new NumberFormatException(""A blank string is not a valid number""); } ",SimFix,16,patch1-Lang-16-SimFix-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/SimFix/Lang/patch1-Lang-16-SimFix-plausible.patch
285,Lang,1,if (cls == null) { return StringUtils.EMPTY; } -        return getShortClassName(cls.getName()); +        return getShortCanonicalName(cls.getName()); }  /** ,SimFix,41,patch1-Lang-41-SimFix-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/SimFix/Lang/patch1-Lang-41-SimFix-plausible.patch
286,Lang,1,"locale = Locale.getDefault(); } try { +                if(locale!=null){ +                    key=new Pair(key,locale); +                } SimpleDateFormat formatter = (SimpleDateFormat) DateFormat.getDateTimeInstance(dateStyle, timeStyle, locale); String pattern = formatter.toPattern(); ",SimFix,50,patch1-Lang-50-SimFix-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/SimFix/Lang/patch1-Lang-50-SimFix-plausible.patch
287,Lang,1,"upper = str.length(); } // if upper is less than lower, raise it to lower -        if (upper < lower) { +        if((lower+(upper-3))<lower){ upper = lower; } ",SimFix,45,patch1-Lang-45-SimFix-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/SimFix/Lang/patch1-Lang-45-SimFix-plausible.patch
288,Lang,1,"// a wrong value. return null; } +        str=str.toLowerCase(); if (str.startsWith(""0x"") || str.startsWith(""-0x"")) { return createInteger(str); } ",SimFix,27,patch1-Lang-27-SimFix-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/SimFix/Lang/patch1-Lang-27-SimFix-plausible.patch
289,Lang,1,"Validate.notNull(classLoader, ""ClassLoader cannot be null.""); Validate.isTrue(listenerInterface.isInterface(), ""Class {0} is not an interface"", listenerInterface.getName()); +        this.prototypeArray=(L[])Array.newInstance(listenerInterface,0); initializeTransientFields(listenerInterface, classLoader); } ",SimFix,10,patch1-Lang-10-SimFix-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/SimFix/Lang/patch1-Lang-10-SimFix-plausible.patch
290,Lang,1,} if (pfxLen > 0) { // we have a hex number final int hexDigits = str.length() - pfxLen; -            if (hexDigits > 16) { // too many for Long +            if(hexDigits>16){ +                try{ +                    return createLong(str); +                }catch (final NumberFormatException nfe) { +} return createBigInteger(str); } if (hexDigits > 8) { // too many for an int ,SimFix,1,patch1-Lang-1-SimFix-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/SimFix/Lang/patch1-Lang-1-SimFix-plausible.patch
291,Lang,1,"end.add( field, -1 * difference ); int endValue = end.get(field); int startValue = start.get(field); -        if (endValue < startValue) { +        if(endValue<field){ int newdiff = startValue - endValue; end.add( field, newdiff ); return newdiff; ",SimFix,63,patch1-Lang-63-SimFix-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/SimFix/Lang/patch1-Lang-63-SimFix-plausible.patch
292,Lang,1,"throw new IllegalArgumentException(""Requested random string length "" + count + "" is less than 0.""); }  -        if (start == 0 && end == 0) { +        if(chars==null&&end==0){ if (!letters && !numbers) { end = Integer.MAX_VALUE; } else { ",SimFix,12,patch1-Lang-12-SimFix-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/SimFix/Lang/patch1-Lang-12-SimFix-plausible.patch
293,Lang,1,char[] thisBuf = buffer; int len = thisBuf.length - strLen; outer: -        for (int i = startIndex; i < len; i++) { +        for(int i=startIndex;i<size;i++){ for (int j = 0; j < strLen; j++) { if (str.charAt(j) != thisBuf[i + j]) { continue outer; ,SimFix,61,patch1-Lang-61-SimFix-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/SimFix/Lang/patch1-Lang-61-SimFix-plausible.patch
