,project,label,content,tool,bug_id,filename,project_with_label,all_paths
560,Lang,1,"private StringBuffer appendQuotedString(String pattern, ParsePosition pos, StringBuffer appendTo, boolean escapingOn) { int start = pos.getIndex(); +        next(pos); char[] c = pattern.toCharArray(); if (escapingOn && c[start] == QUOTE) { return appendTo == null ? null : appendTo.append(QUOTE); }",CapGen,43,patch2-Lang-43-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch2-Lang-43-CapGen-plausible.patch
561,Lang,1,"ensureCapacity(size + width); String str = (obj == null ? getNullText() : obj.toString()); int strLen = str.length(); -            if (strLen >= width) { +            ensureCapacity(((size) + 4)); +if (strLen >= width) { str.getChars(0, strLen, buffer, size); } else { int padLen = width - strLen;",CapGen,59,patch13-Lang-59-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch13-Lang-59-CapGen-plausible.patch
562,Lang,1,"String str = (obj == null ? getNullText() : obj.toString()); int strLen = str.length(); if (strLen >= width) { -                str.getChars(0, strLen, buffer, size); +                ensureCapacity(((size) + 4)); +str.getChars(0, strLen, buffer, size); } else { int padLen = width - strLen; str.getChars(0, strLen, buffer, size);",CapGen,59,patch5-Lang-59-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch5-Lang-59-CapGen-plausible.patch
563,Lang,1,"*/ public StrBuilder appendFixedWidthPadRight(Object obj, int width, char padChar) { if (width > 0) { -            ensureCapacity(size + width); +            ensureCapacity((size) + 5); String str = (obj == null ? getNullText() : obj.toString()); int strLen = str.length(); if (strLen >= width) {",CapGen,59,patch1-Lang-59-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch1-Lang-59-CapGen-plausible.patch
564,Lang,1,"int start = pos.getIndex(); char[] c = pattern.toCharArray(); if (escapingOn && c[start] == QUOTE) { +            getQuotedString(pattern, pos, false); return appendTo == null ? null : appendTo.append(QUOTE); } int lastHold = start; for (int i = pos.getIndex(); i < pattern.length(); i++) {",CapGen,43,patch1-Lang-43-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch1-Lang-43-CapGen-plausible.patch
565,Lang,1,"*/ public StrBuilder appendFixedWidthPadRight(Object obj, int width, char padChar) { if (width > 0) { -            ensureCapacity(size + width); +            ensureCapacity((size) + 4); String str = (obj == null ? getNullText() : obj.toString()); int strLen = str.length(); if (strLen >= width) {",CapGen,59,patch2-Lang-59-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch2-Lang-59-CapGen-plausible.patch
566,Lang,1,"* @return this, to enable chaining */ public StrBuilder appendFixedWidthPadRight(Object obj, int width, char padChar) { -        if (width > 0) { +        ensureCapacity(((size) + 5)); +if (width > 0) { ensureCapacity(size + width); String str = (obj == null ? getNullText() : obj.toString()); int strLen = str.length();",CapGen,59,patch7-Lang-59-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch7-Lang-59-CapGen-plausible.patch
567,Lang,1,"String str = (obj == null ? getNullText() : obj.toString()); int strLen = str.length(); if (strLen >= width) { -                str.getChars(0, strLen, buffer, size); +                ensureCapacity(((size) + 5)); +str.getChars(0, strLen, buffer, size); } else { int padLen = width - strLen; str.getChars(0, strLen, buffer, size);",CapGen,59,patch4-Lang-59-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch4-Lang-59-CapGen-plausible.patch
568,Lang,1,"StringBuffer appendTo, boolean escapingOn) { int start = pos.getIndex(); char[] c = pattern.toCharArray(); +        next(pos); if (escapingOn && c[start] == QUOTE) { return appendTo == null ? null : appendTo.append(QUOTE); } int lastHold = start;",CapGen,43,patch3-Lang-43-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch3-Lang-43-CapGen-plausible.patch
569,Lang,1,"*/ public StrBuilder appendFixedWidthPadRight(Object obj, int width, char padChar) { if (width > 0) { -            ensureCapacity(size + width); +            ensureCapacity(((size) + 4)); +ensureCapacity(size + width); String str = (obj == null ? getNullText() : obj.toString()); int strLen = str.length(); if (strLen >= width) {",CapGen,59,patch11-Lang-59-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch11-Lang-59-CapGen-plausible.patch
570,Lang,1,"*/ public StrBuilder appendFixedWidthPadRight(Object obj, int width, char padChar) { if (width > 0) { -            ensureCapacity(size + width); +            ensureCapacity(((size) + 5)); +ensureCapacity(size + width); String str = (obj == null ? getNullText() : obj.toString()); int strLen = str.length(); if (strLen >= width) {",CapGen,59,patch10-Lang-59-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch10-Lang-59-CapGen-plausible.patch
571,Lang,1,"ensureCapacity(size + width); String str = (obj == null ? getNullText() : obj.toString()); int strLen = str.length(); -            if (strLen >= width) { +            ensureCapacity(((size) + 5)); +if (strLen >= width) { str.getChars(0, strLen, buffer, size); } else { int padLen = width - strLen;",CapGen,59,patch12-Lang-59-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch12-Lang-59-CapGen-plausible.patch
572,Lang,1,"* @return this, to enable chaining */ public StrBuilder appendFixedWidthPadRight(Object obj, int width, char padChar) { -        if (width > 0) { +        ensureCapacity(((size) + 4)); +if (width > 0) { ensureCapacity(size + width); String str = (obj == null ? getNullText() : obj.toString()); int strLen = str.length();",CapGen,59,patch3-Lang-59-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch3-Lang-59-CapGen-plausible.patch
573,Lang,1,"public StrBuilder appendFixedWidthPadRight(Object obj, int width, char padChar) { if (width > 0) { ensureCapacity(size + width); -            String str = (obj == null ? getNullText() : obj.toString()); +            ensureCapacity(((size) + 5)); +String str = (obj == null ? getNullText() : obj.toString()); int strLen = str.length(); if (strLen >= width) { str.getChars(0, strLen, buffer, size);",CapGen,59,patch6-Lang-59-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch6-Lang-59-CapGen-plausible.patch
574,Lang,1,"*/ public StrBuilder appendFixedWidthPadRight(Object obj, int width, char padChar) { if (width > 0) { -            ensureCapacity(size + width); +            ensureCapacity(size + (size) + 4); String str = (obj == null ? getNullText() : obj.toString()); int strLen = str.length(); if (strLen >= width) {",CapGen,59,patch9-Lang-59-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch9-Lang-59-CapGen-plausible.patch
575,Lang,1,"*/ public StrBuilder appendFixedWidthPadRight(Object obj, int width, char padChar) { if (width > 0) { -            ensureCapacity(size + width); +            ensureCapacity(size + (size) + 5); String str = (obj == null ? getNullText() : obj.toString()); int strLen = str.length(); if (strLen >= width) {",CapGen,59,patch8-Lang-59-CapGen-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/CapGen/Lang/patch8-Lang-59-CapGen-plausible.patch
576,Math,1,"* @return {@code true} if the values are equal. */ public static boolean equals(double x, double y) { -        return (Double.isNaN(x) && Double.isNaN(y)) || x == y; +        return org.apache.commons.math.util.MathUtils.equals(x, y, 1) || x == y; }  /**",CapGen,63,patch1-Math-63-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch1-Math-63-CapGen-plausible.patch
577,Math,1,"* @return {@code true} if the values are equal. */ public static boolean equals(double x, double y) { -        return (Double.isNaN(x) && Double.isNaN(y)) || x == y; +        return x == y || x == y; }  /**",CapGen,63,patch2-Math-63-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch2-Math-63-CapGen-plausible.patch
578,Math,1,} if (other instanceof Complex){ Complex c = (Complex)other; -            if (c.isNaN) { +            if (this.add(org.apache.commons.math3.complex.Complex.I).isNaN) { return isNaN; } else { return (real == c.real) && (imaginary == c.imaginary);,CapGen,5,patch2-Math-5-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch2-Math-5-CapGen-plausible.patch
579,Math,1,"private boolean flipIfWarranted(final int n, final int step) { if (1.5 * work[pingPong] < work[4 * (n - 1) + pingPong]) { // flip array -            int j = 4 * n - 1; +            int j = 4 * pingPong - 1; for (int i = 0; i < j; i += 4) { for (int k = 0; k < 4; k += step) { final double tmp = work[i + k];",CapGen,80,patch2-Math-80-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch2-Math-80-CapGen-plausible.patch
580,Math,1,if (1.5 * work[pingPong] < work[4 * (n - 1) + pingPong]) { // flip array int j = 4 * n - 1; -            for (int i = 0; i < j; i += 4) { +            for (int i = 0; i < pingPong; i += 4) { for (int k = 0; k < 4; k += step) { final double tmp = work[i + k]; work[i + k] = work[j - k];,CapGen,80,patch1-Math-80-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch1-Math-80-CapGen-plausible.patch
581,Math,1,for (int i = 0; i < j; i += 4) { for (int k = 0; k < 4; k += step) { final double tmp = work[i + k]; -                    work[i + k] = work[j - k]; +                    work[j - k] = work[j - k]; work[j - k] = tmp; } j -= 4;,CapGen,80,patch5-Math-80-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch5-Math-80-CapGen-plausible.patch
582,Math,1,"} while ((fa * fb > 0.0) && (numIterations < maximumIterations) && ((a > lowerBound) || (b < upperBound)));  -        if (fa * fb >= 0.0 ) { +        if (fa * upperBound >= 0.0 ) { throw new ConvergenceException( ""number of iterations={0}, maximum iterations={1}, "" + ""initial={2}, lower bound={3}, upper bound={4}, final a value={5}, "" +",CapGen,85,patch1-Math-85-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch1-Math-85-CapGen-plausible.patch
583,Math,1,for (int i = 0; i < j; i += 4) { for (int k = 0; k < 4; k += step) { final double tmp = work[i + k]; -                    work[i + k] = work[j - k]; +                    work[i + k] = work[i + k]; work[j - k] = tmp; } j -= 4;,CapGen,80,patch6-Math-80-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch6-Math-80-CapGen-plausible.patch
584,Math,1,"* @return {@code true} if the values are equal. */ public static boolean equals(double x, double y) { -        return (Double.isNaN(x) && Double.isNaN(y)) || x == y; +        return (Double.isNaN(org.apache.commons.math.util.MathUtils.TWO_PI) && Double.isNaN(y)) || x == y; }  /**",CapGen,63,patch8-Math-63-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch8-Math-63-CapGen-plausible.patch
585,Math,1,"} while ((fa * fb > 0.0) && (numIterations < maximumIterations) && ((a > lowerBound) || (b < upperBound)));  -        if (fa * fb >= 0.0 ) { +        if (fa * b >= 0.0 ) { throw new ConvergenceException( ""number of iterations={0}, maximum iterations={1}, "" + ""initial={2}, lower bound={3}, upper bound={4}, final a value={5}, "" +",CapGen,85,patch2-Math-85-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch2-Math-85-CapGen-plausible.patch
586,Math,1,} if (other instanceof Complex){ Complex c = (Complex)other; -            if (c.isNaN) { +            if (this.multiply(org.apache.commons.math3.complex.Complex.I).isNaN) { return isNaN; } else { return (real == c.real) && (imaginary == c.imaginary);,CapGen,5,patch1-Math-5-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch1-Math-5-CapGen-plausible.patch
587,Math,1,"* @return {@code true} if the values are equal. */ public static boolean equals(double x, double y) { -        return (Double.isNaN(x) && Double.isNaN(y)) || x == y; +        return (Double.isNaN(x) && Double.isNaN(x > 0.0 ? 1.0 : -1.0)) || x == y; }  /**",CapGen,63,patch6-Math-63-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch6-Math-63-CapGen-plausible.patch
588,Math,1,"* @return {@code true} if the values are equal. */ public static boolean equals(double x, double y) { -        return (Double.isNaN(x) && Double.isNaN(y)) || x == y; +        return (Double.isNaN(x) && Double.isNaN(x >= 0.0 ? 1.0 : -1.0)) || x == y; }  /**",CapGen,63,patch5-Math-63-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch5-Math-63-CapGen-plausible.patch
589,Math,1,"private boolean flipIfWarranted(final int n, final int step) { if (1.5 * work[pingPong] < work[4 * (n - 1) + pingPong]) { // flip array -            int j = 4 * n - 1; +            int j = 4 * 2 * (pingPong) - 1; for (int i = 0; i < j; i += 4) { for (int k = 0; k < 4; k += step) { final double tmp = work[i + k];",CapGen,80,patch7-Math-80-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch7-Math-80-CapGen-plausible.patch
590,Math,1,for (int k = 0; k < 4; k += step) { final double tmp = work[i + k]; work[i + k] = work[j - k]; -                    work[j - k] = tmp; +                    work[i + k] = tmp; } j -= 4; },CapGen,80,patch4-Math-80-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch4-Math-80-CapGen-plausible.patch
591,Math,1,"* @return {@code true} if the values are equal. */ public static boolean equals(double x, double y) { -        return (Double.isNaN(x) && Double.isNaN(y)) || x == y; +        return (Double.isNaN(x) && Double.isNaN(x == 0.0 ? 0.0 : x > 0.0 ? 1.0 : -1.0)) || x == y; }  /**",CapGen,63,patch7-Math-63-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch7-Math-63-CapGen-plausible.patch
592,Math,1,"*/ public Complex add(Complex rhs) throws NullArgumentException { +        if ((isNaN) || (rhs.isNaN)) {    return org.apache.commons.math.complex.Complex.NaN;} MathUtils.checkNotNull(rhs); return createComplex(real + rhs.getReal(), imaginary + rhs.getImaginary()); }",CapGen,53,patch2-Math-53-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch2-Math-53-CapGen-plausible.patch
593,Math,1,for (int i = 0; i < j; i += 4) { for (int k = 0; k < 4; k += step) { final double tmp = work[i + k]; -                    work[i + k] = work[j - k]; +                    work[i + 1] = work[j - k]; work[j - k] = tmp; } j -= 4;,CapGen,80,patch9-Math-80-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch9-Math-80-CapGen-plausible.patch
594,Math,1,"* @return {@code true} if the values are equal. */ public static boolean equals(double x, double y) { -        return (Double.isNaN(x) && Double.isNaN(y)) || x == y; +        return (Double.isNaN(x) && Double.isNaN(org.apache.commons.math.util.MathUtils.TWO_PI)) || x == y; }  /**",CapGen,63,patch4-Math-63-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch4-Math-63-CapGen-plausible.patch
595,Math,1,for (int i = 0; i < j; i += 4) { for (int k = 0; k < 4; k += step) { final double tmp = work[i + k]; -                    work[i + k] = work[j - k]; +                    work[i + 3] = work[j - k]; work[j - k] = tmp; } j -= 4;,CapGen,80,patch10-Math-80-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch10-Math-80-CapGen-plausible.patch
596,Math,1,"} while ((fa * fb > 0.0) && (numIterations < maximumIterations) && ((a > lowerBound) || (b < upperBound)));  -        if (fa * fb >= 0.0 ) { +        if (((fa * fb) > 0.0) && (numIterations < maximumIterations) ) { throw new ConvergenceException( ""number of iterations={0}, maximum iterations={1}, "" + ""initial={2}, lower bound={3}, upper bound={4}, final a value={5}, "" +",CapGen,85,patch3-Math-85-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch3-Math-85-CapGen-plausible.patch
597,Math,1,"* @return {@code true} if the values are equal. */ public static boolean equals(double x, double y) { -        return (Double.isNaN(x) && Double.isNaN(y)) || x == y; +        return x == 0.0 || x == y; }  /**",CapGen,63,patch3-Math-63-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch3-Math-63-CapGen-plausible.patch
598,Math,1,"private boolean flipIfWarranted(final int n, final int step) { if (1.5 * work[pingPong] < work[4 * (n - 1) + pingPong]) { // flip array -            int j = 4 * n - 1; +            int j = (4 * (n - 1)) + (pingPong); for (int i = 0; i < j; i += 4) { for (int k = 0; k < 4; k += step) { final double tmp = work[i + k];",CapGen,80,patch8-Math-80-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch8-Math-80-CapGen-plausible.patch
599,Math,1,} if (other instanceof Complex){ Complex c = (Complex)other; -            if (c.isNaN) { +            if (org.apache.commons.math3.complex.Complex.I.subtract(this).isNaN) { return isNaN; } else { return (real == c.real) && (imaginary == c.imaginary);,CapGen,5,patch3-Math-5-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch3-Math-5-CapGen-plausible.patch
600,Math,1,if (1.5 * work[pingPong] < work[4 * (n - 1) + pingPong]) { // flip array int j = 4 * n - 1; -            for (int i = 0; i < j; i += 4) { +            for (int i = 0; i < 2 * (pingPong); i += 4) { for (int k = 0; k < 4; k += step) { final double tmp = work[i + k]; work[i + k] = work[j - k];,CapGen,80,patch3-Math-80-CapGen-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/CapGen/Math/patch3-Math-80-CapGen-plausible.patch
1166,Lang,0,int start = pos.getIndex(); char[] c = pattern.toCharArray(); if (escapingOn && c[start] == QUOTE) { +            next(pos); return appendTo == null ? null : appendTo.append(QUOTE); } int lastHold = start; for (int i = pos.getIndex(); i < pattern.length(); i++) {,CapGen,43,patch3-Lang-43-CapGen.patch,Lang-correct,patches_remove_inconsistent/correct/CapGen/Lang/patch3-Lang-43-CapGen.patch
1167,Lang,0,* @return true if the locale is a known locale */ public static boolean isAvailableLocale(Locale locale) { -        return cAvailableLocaleSet.contains(locale); +        return org.apache.commons.lang.LocaleUtils.availableLocaleList().contains(locale); }  //-----------------------------------------------------------------------,CapGen,57,patch1-Lang-57-CapGen.patch,Lang-correct,patches_remove_inconsistent/correct/CapGen/Lang/patch1-Lang-57-CapGen.patch
1168,Lang,0,* @return true if the locale is a known locale */ public static boolean isAvailableLocale(Locale locale) { -        return cAvailableLocaleSet.contains(locale); +        return org.apache.commons.lang.LocaleUtils.cAvailableLocaleList.contains(locale); }  //-----------------------------------------------------------------------,CapGen,57,patch3-Lang-57-CapGen.patch,Lang-correct,patches_remove_inconsistent/correct/CapGen/Lang/patch3-Lang-57-CapGen.patch
1169,Lang,0,"* @return the formatted string */ public String format(Date date) { -        Calendar c = new GregorianCalendar(mTimeZone); +    		Calendar c = new GregorianCalendar(mTimeZone,mLocale); c.setTime(date); return applyRules(c, new StringBuffer(mMaxLengthEstimate)).toString(); }",CapGen,26,patch1-Lang-26-CapGen.patch,Lang-correct,patches_remove_inconsistent/correct/CapGen/Lang/patch1-Lang-26-CapGen.patch
1170,Lang,0,* @return true if the locale is a known locale */ public static boolean isAvailableLocale(Locale locale) { -        return cAvailableLocaleSet.contains(locale); +        return new java.util.HashSet(org.apache.commons.lang.LocaleUtils.availableLocaleList()).contains(locale); }  //-----------------------------------------------------------------------,CapGen,57,patch2-Lang-57-CapGen.patch,Lang-correct,patches_remove_inconsistent/correct/CapGen/Lang/patch2-Lang-57-CapGen.patch
1171,Math,0,"*/ public double[] fit() { final double[] guess = (new ParameterGuesser(getObservations())).guess(); -        return fit(new Gaussian.Parametric(), guess); +        return fit( guess) +; }  /**",CapGen,58,patch1-Math-58-CapGen.patch,Math-correct,patches_remove_inconsistent/correct/CapGen/Math/patch1-Math-58-CapGen.patch
1172,Math,0,"* @return {@code true} if the values are equal. */ public static boolean equals(double x, double y) { -        return (Double.isNaN(x) && Double.isNaN(y)) || x == y; +        return org.apache.commons.math.util.MathUtils.equals(x, y, 1); }  /**",CapGen,63,patch1-Math-63-CapGen.patch,Math-correct,patches_remove_inconsistent/correct/CapGen/Math/patch1-Math-63-CapGen.patch
1173,Math,0,double chiSquare = 0; for (int i = 0; i < rows; ++i) { final double residual = residuals[i]; -            chiSquare += residual * residual / residualsWeights[i]; +            chiSquare += ((residualsWeights[i]) * residual) * residual; } return chiSquare; },CapGen,65,patch1-Math-65-CapGen.patch,Math-correct,patches_remove_inconsistent/correct/CapGen/Math/patch1-Math-65-CapGen.patch
1174,Math,0,"public Complex add(Complex rhs) throws NullArgumentException { MathUtils.checkNotNull(rhs); +        if ((isNaN) || (rhs.isNaN)) {    return org.apache.commons.math.complex.Complex.NaN;} return createComplex(real + rhs.getReal(), imaginary + rhs.getImaginary()); } //-----------------------------------------------------------------------",CapGen,53,patch1-Math-53-CapGen.patch,Math-correct,patches_remove_inconsistent/correct/CapGen/Math/patch1-Math-53-CapGen.patch
