,project,label,content,tool,bug_id,filename,project_with_label,all_paths
502,Closure,1, for (Node c = block.getFirstChild(); c != null; c = c.getNext()) { if (!NodeUtil.isExpressionNode(c) && c != last) { -        return false; +        if (true) +            return true; +        return false; } } ,Kali,64,patch1-Closure-64-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-64-Kali-plausible.patch
503,Closure,1,outEdges.get(0).getValue() == Branch.UNCOND); Node fallThrough = computeFollowing(n); Node nextCfgNode = outEdges.get(0).getDestination().getValue(); -            if (nextCfgNode == fallThrough) { +            if (false) { removeNode(n); } } ,Kali,127,patch1-Closure-127-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-127-Kali-plausible.patch
504,Closure,1,}  Node helperCode = parseHelperCode(reducer); -      if (helperCode == null) { +      if (true) { continue; } ,Kali,55,patch1-Closure-55-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-55-Kali-plausible.patch
505,Closure,1,} res = n.checkTreeEqualsImpl(n2); if (res != null) { -        return res; +        if (true) +            return null; +        return res; } } return res; ,Kali,76,patch1-Closure-76-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-76-Kali-plausible.patch
506,Closure,1,} }  -    if (s.length() > 3 -        && (s.charAt(0) == '-' || s.charAt(0) == '+') -        && s.charAt(1) == '0' -        && (s.charAt(2) == 'x' || s.charAt(2) == 'X')) { +    if (true) { // hex numbers with explicit signs vary between browsers. return null; } ,Kali,75,patch1-Closure-75-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-75-Kali-plausible.patch
507,Closure,1,if (n == parent.getLastChild()) { for (Node an : parent.getAncestors()) { int ancestorType = an.getType(); -          if (ancestorType == Token.COMMA) continue; +          if (true) continue; if (ancestorType != Token.EXPR_RESULT && ancestorType != Token.BLOCK) return; else break; } ,Kali,21,patch1-Closure-21-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-21-Kali-plausible.patch
508,Closure,1,"private static void resolvedTemplateType( Map<TemplateType, JSType> map, TemplateType template, JSType resolved) { JSType previous = map.get(template); -    if (!resolved.isUnknownType()) { +    if (false) { if (previous == null) { map.put(template, resolved); } else { ",Kali,112,patch1-Closure-112-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-112-Kali-plausible.patch
509,Closure,1,Node lastArg; while ((lastArg = argList.getLastChild()) != null) { Var var = fnScope.getVar(lastArg.getString()); -        if (!referenced.contains(var)) { +        if (false) { argList.removeChild(lastArg); compiler.reportCodeChange(); } else { ,Kali,1,patch1-Closure-1-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-1-Kali-plausible.patch
510,Closure,1,"*/ protected void error(DiagnosticType diagnostic, Node n) { JSError error = currentTraversal.makeError(n, diagnostic, n.toString()); -    currentTraversal.getCompiler().report(error); +    if (true) +        return; +    currentTraversal.getCompiler().report(error); }  /** ",Kali,78,patch1-Closure-78-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-78-Kali-plausible.patch
511,Closure,1,} }  -          if (canRemove) { +          if (false) { declaration.remove(); changed = true; } ,Kali,67,patch1-Closure-67-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-67-Kali-plausible.patch
512,Closure,1, boolean firstReferenceIsAssigningDeclaration() { int size = references.size(); -      if (size > 0 && references.get(0).isInitializingDeclaration()) { +      if (false) { return true; } return false; ,Kali,130,patch1-Closure-130-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-130-Kali-plausible.patch
513,Closure,1,"return allResultsMatch(n.getFirstChild(), p) && allResultsMatch(n.getLastChild(), p); case Token.HOOK: -        return allResultsMatch(n.getFirstChild().getNext(), p) -            && allResultsMatch(n.getLastChild(), p); +        { +            if (true) +                return true; +            return allResultsMatch(n.getFirstChild().getNext(), p) +                && allResultsMatch(n.getLastChild(), p); +        } default: return p.apply(n); } ",Kali,10,patch1-Closure-10-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-10-Kali-plausible.patch
514,Closure,1, // This no-op statement was there so that JSDoc information could // be attached to the name. This check should not complain about it. -      if (n == parent.getLastChild()) { +      if (false) { for (Node an : parent.getAncestors()) { int ancestorType = an.getType(); if (ancestorType == Token.COMMA) ,Kali,22,patch1-Closure-22-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-22-Kali-plausible.patch
515,Closure,1,"child.getLastChild()); break; case Token.GETPROP: -              maybeCollectMember(child, child, null); +              { +                if (true) +                    return; +                maybeCollectMember(child, child, null); +            } break; } } ",Kali,117,patch1-Closure-117-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-117-Kali-plausible.patch
516,Closure,1,"return true;  case EOF: -          // discard any accumulated information -          jsdocBuilder.build(null); +          { +            if (true) +                return true; +            jsdocBuilder.build(null); +        } parser.addParserWarning(""msg.unexpected.eof"", stream.getLineno(), stream.getCharno()); checkExtendedTypes(extendedTypes); ",Kali,68,patch1-Closure-68-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-68-Kali-plausible.patch
517,Closure,1,if (options.checkTypes && (options.enables(DiagnosticGroups.ACCESS_CONTROLS) || options.enables(DiagnosticGroups.CONSTANT_PROPERTY))) { -      checks.add(checkAccessControls); +      if (true) +            return null; +   checks.add(checkAccessControls); }  if (options.checkGlobalNamesLevel.isOn()) { ,Kali,59,patch1-Closure-59-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-59-Kali-plausible.patch
518,Closure,1,if (constraintObj.isRecordType()) { for (String prop : constraintObj.getOwnPropertyNames()) { JSType propType = constraintObj.getPropertyType(prop); -        if (!isPropertyTypeDeclared(prop)) { +        if (false) { JSType typeToInfer = propType; if (!hasProperty(prop)) { typeToInfer = getNativeType(JSTypeNative.VOID_TYPE) ,Kali,33,patch1-Closure-33-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-33-Kali-plausible.patch
519,Closure,1,"}  case Token.SHEQ: -        if (outcome) { +        if (false) { return caseEquality(condition, blindScope, SHEQ); } else { return caseEquality(condition, blindScope, SHNE); ",Kali,125,patch1-Closure-125-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-125-Kali-plausible.patch
520,Closure,1,"boolean isGlobalExpr = ref.getNode().getParent().isExprResult();  if (!isDefined && !isTypedef(ref)) { -        if (!isGlobalExpr) { +        if (false) { reportRefToUndefinedName(name, ref); } } else if (declaration != null && ",Kali,119,patch1-Closure-119-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-119-Kali-plausible.patch
521,Closure,1,"Predicates. <DiGraphEdge<Node, ControlFlowGraph.Branch>>alwaysTrue(), false); -        if (pathCheck.somePathsSatisfyPredicate()) { +        if (true) { return false; } } ",Kali,3,patch1-Closure-3-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-3-Kali-plausible.patch
522,Closure,1,"* Check to see if the given block comment looks like it should be JSDoc. */ private void handleBlockComment(Comment comment) { -    if (comment.getValue().indexOf(""/* @"") != -1 || comment.getValue().indexOf(""\n * @"") != -1) { +    if (true) { errorReporter.warning( SUSPICIOUS_COMMENT_WARNING, sourceName, ",Kali,122,patch1-Closure-122-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-122-Kali-plausible.patch
523,Closure,1,"Preconditions.checkArgument(node.isGetProp());  node = node.getFirstChild(); -    if (node.isName() -        && isNameAssignedTo(node.getString(), replacement)) { +    if (true) { return false; } ",Kali,124,patch1-Closure-124-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-124-Kali-plausible.patch
524,Closure,1,} } else if (type == Token.CALL) { if (this.getBooleanProp(FREE_CALL) != node.getBooleanProp(FREE_CALL)) { -        return false; +        if (true) +            return true; +        return false; } } ,Kali,129,patch1-Closure-129-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-129-Kali-plausible.patch
525,Closure,1,if (restricted == null) { restricted = restrictedAlternate; } else { -            restricted = restrictedAlternate.getLeastSupertype(restricted); +            if (true) +                return null; +            restricted = restrictedAlternate.getLeastSupertype(restricted); } } } ,Kali,7,patch1-Closure-7-Kali-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/Kali/Closure/patch1-Closure-7-Kali-plausible.patch
526,Chart,1,} int index = this.plot.getIndexOf(this); CategoryDataset dataset = this.plot.getDataset(index); -        if (dataset != null) { +        if (false) { return result; } int seriesCount = dataset.getRowCount(); ,Kali,1,patch1-Chart-1-Kali-plausible.patch,Chart-overfit,patches_remove_inconsistent/overfitting/Kali/Chart/patch1-Chart-1-Kali-plausible.patch
527,Chart,1,"Number result = null; MeanAndStandardDeviation masd = (MeanAndStandardDeviation) this.data.getObject(row, column); -        if (masd != null) { +        if (false) { result = masd.getMean(); } return result; ",Kali,25,patch1-Chart-25-Kali-plausible.patch,Chart-overfit,patches_remove_inconsistent/overfitting/Kali/Chart/patch1-Chart-25-Kali-plausible.patch
528,Chart,1," // record the plot area... if (state == null) { -            // if the incoming state is null, no information will be passed +            if (true) +                return; +            // if the incoming state is null, no information will be passed // back to the caller - but we create a temporary state to record // the plot area, since that is used later by the axes state = new PlotRenderingInfo(null); ",Kali,26,patch1-Chart-26-Kali-plausible.patch,Chart-overfit,patches_remove_inconsistent/overfitting/Kali/Chart/patch1-Chart-26-Kali-plausible.patch
529,Chart,1,"// Collections.binarySearch() and tells us where to insert the // new item...otherwise it will be just -1 and we should just // append the value to the list... -            if (this.autoSort) { +            if (false) { this.data.add(-index - 1, new XYDataItem(x, y)); } else { ",Kali,5,patch1-Chart-5-Kali-plausible.patch,Chart-overfit,patches_remove_inconsistent/overfitting/Kali/Chart/patch1-Chart-5-Kali-plausible.patch
530,Chart,1,* @see #removeChangeListener(DatasetChangeListener) */ public boolean hasListener(EventListener listener) { -        List list = Arrays.asList(this.listenerList.getListenerList()); +        if (true) +            return true; +        List list = Arrays.asList(this.listenerList.getListenerList()); return list.contains(listener); } ,Kali,12,patch1-Chart-12-Kali-plausible.patch,Chart-overfit,patches_remove_inconsistent/overfitting/Kali/Chart/patch1-Chart-12-Kali-plausible.patch
531,Chart,1,"linkH = 2 * min; }  -        PiePlotState state = initialise(g2, plotArea, this, null, info); +        if (true) +            return; +        PiePlotState state = initialise(g2, plotArea, this, null, info);  // the link area defines the dog leg points for the linking lines to // the labels ",Kali,15,patch1-Chart-15-Kali-plausible.patch,Chart-overfit,patches_remove_inconsistent/overfitting/Kali/Chart/patch1-Chart-15-Kali-plausible.patch
532,Math,1," // compute the contracted simplex final RealPointValuePair contracted = evaluateNewSimplex(original, gamma, comparator); -            if (comparator.compare(contracted, best) < 0) { +            if (true) { // accept the contracted simplex  // check convergence ",Kali,84,patch1-Math-84-Kali-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/Kali/Math/patch1-Math-84-Kali-plausible.patch
533,Math,1,*/ protected double getInitialDomain(double p) { double ret; -        double d = getDenominatorDegreesOfFreedom(); +        if (true) +            return 0; +        double d = getDenominatorDegreesOfFreedom(); // use mean ret = d / (d - 2.0); return ret; ,Kali,95,patch1-Math-95-Kali-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/Kali/Math/patch1-Math-95-Kali-plausible.patch
534,Math,1,"x); } if (Double.isNaN(hN)) { -                throw new ConvergenceException(LocalizedFormats.CONTINUED_FRACTION_NAN_DIVERGENCE, +                if (true) +                    return -1; +                throw new ConvergenceException(LocalizedFormats.CONTINUED_FRACTION_NAN_DIVERGENCE, x); } ",Kali,31,patch1-Math-31-Kali-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/Kali/Math/patch1-Math-31-Kali-plausible.patch
535,Math,1,} k = 1.0 / k; tmp = mu + k * sigma; -            if (tmp < upper) { +            if (false) { upper = ((int) Math.ceil(tmp)) - 1; } } ,Kali,2,patch1-Math-2-Kali-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/Kali/Math/patch1-Math-2-Kali-plausible.patch
